[27-May-2024 05:50:29 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 05:50:29 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 05:50:30 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 05:50:30 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 05:50:33 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 05:50:33 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 05:50:49 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 05:50:49 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 05:50:50 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 05:50:50 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 05:50:50 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 05:50:50 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 05:50:52 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 05:50:52 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 05:50:56 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 05:50:56 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 05:58:32 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 05:58:32 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:01:03 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:01:03 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:01:23 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:01:23 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:01:40 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:01:40 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:05:19 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:05:19 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:06:26 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:06:26 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:07:34 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:07:34 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:07:40 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:07:40 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:08:27 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:08:27 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:09:35 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:09:35 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:09:45 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:09:45 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
[27-May-2024 06:09:47 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\css\style_dynamic_callback.php on line 1171
[27-May-2024 06:09:47 UTC] PHP Warning:  Undefined variable $logo_height in C:\xampp\htdocs\weeklygrocery\wp-content\themes\bridge\includes\qode-dynamic-helper-functions.php on line 1158
